state	sex	race	age	education	ideology	vote
KS	female	white	18-29	college graduate	moderate	A
MN	male	white	30-44	college graduate	liberal	other
FL	male	white	45-64	some college	liberal	A
FL	male	white	30-44	college graduate	conservative	B
MO	female	white	30-44	high school graduate	conservative	B
PA	female	white	65+	high school graduate	moderate	A
NY	male	white	30-44	college graduate	moderate	A
GA	male	white	45-64	didn't graduate from HS	liberal	B
PA	female	white	30-44	college graduate	liberal	A
PA	female	white	30-44	some college	liberal	A
NC	male	white	45-64	college graduate	moderate	B
CT	female	white	45-64	high school graduate	moderate	A
CA	female	black	45-64	high school graduate	moderate	A
NY	male	other	65+	college graduate	moderate	A
CA	male	white	65+	some college	conservative	A
NY	female	white	18-29	college graduate	liberal	A
OH	female	black	45-64	some college	conservative	A
CA	male	white	18-29	didn't graduate from HS	moderate	A
CA	male	hispanic	45-64	college graduate	moderate	A
OH	male	white	65+	didn't graduate from HS	liberal	A
AZ	male	white	65+	some college	conservative	B
IL	male	white	65+	some college	moderate	A
CA	female	hispanic	30-44	some college	liberal	A
IL	male	white	45-64	college graduate	moderate	B
WI	female	white	65+	some college	conservative	B
MO	male	white	45-64	college graduate	moderate	A
NC	male	white	18-29	college graduate	liberal	A
NY	female	black	18-29	high school graduate	liberal	A
IN	male	white	18-29	college graduate	moderate	B
GA	female	white	30-44	some college	conservative	B
MI	male	black	30-44	high school graduate	moderate	A
FL	female	white	18-29	some college	moderate	B
OR	male	white	65+	college graduate	liberal	A
MA	female	white	18-29	college graduate	liberal	A
PA	male	white	45-64	college graduate	moderate	B
TX	male	black	45-64	some college	conservative	A
AR	female	black	18-29	college graduate	moderate	other
CA	female	white	18-29	some college	conservative	B
CA	male	hispanic	18-29	high school graduate	moderate	B
OH	female	white	45-64	some college	conservative	B
NC	male	white	65+	college graduate	conservative	B
KY	female	white	45-64	college graduate	moderate	A
CA	female	white	30-44	college graduate	liberal	A
NV	male	white	30-44	college graduate	moderate	B
CT	male	white	18-29	some college	liberal	A
TX	female	white	30-44	college graduate	moderate	B
PA	female	white	65+	some college	conservative	B
NJ	female	white	45-64	some college	moderate	B
IL	female	hispanic	65+	didn't graduate from HS	conservative	A
AL	female	white	45-64	some college	moderate	B
CA	male	white	45-64	some college	moderate	A
CA	male	white	45-64	college graduate	conservative	B
NY	female	black	18-29	didn't graduate from HS	liberal	A
OH	female	white	65+	high school graduate	moderate	A
NC	male	white	30-44	college graduate	conservative	B
KS	female	hispanic	30-44	some college	conservative	B
NJ	female	white	45-64	high school graduate	moderate	A
NJ	female	white	30-44	college graduate	conservative	B
CA	male	white	65+	college graduate	moderate	B
NY	female	white	45-64	college graduate	moderate	A
MO	male	white	45-64	college graduate	conservative	B
KS	female	white	30-44	college graduate	conservative	other
MS	female	white	45-64	college graduate	moderate	B
UT	female	white	30-44	college graduate	moderate	A
IL	female	white	45-64	college graduate	conservative	A
NY	female	white	65+	college graduate	liberal	A
TN	female	white	18-29	some college	liberal	A
CA	male	white	65+	college graduate	conservative	B
VA	male	white	65+	college graduate	moderate	A
NC	male	white	45-64	some college	conservative	B
OH	male	white	45-64	some college	conservative	B
NC	female	white	30-44	college graduate	moderate	B
TX	male	white	45-64	high school graduate	moderate	B
ME	female	white	45-64	high school graduate	conservative	B
AK	male	other	45-64	some college	conservative	B
CA	female	white	30-44	college graduate	moderate	B
PA	male	white	45-64	high school graduate	conservative	A
MI	female	white	30-44	high school graduate	moderate	A
OH	female	white	65+	high school graduate	moderate	B
NY	male	white	30-44	some college	moderate	A
FL	female	white	45-64	college graduate	moderate	A
MI	female	white	18-29	some college	moderate	A
KS	male	white	18-29	some college	conservative	B
IL	male	white	30-44	some college	moderate	B
WA	female	white	45-64	high school graduate	conservative	B
GA	female	black	18-29	didn't graduate from HS	conservative	A
WY	male	white	65+	college graduate	conservative	B
IL	female	hispanic	18-29	some college	moderate	A
MO	female	white	18-29	some college	moderate	A
CA	male	hispanic	30-44	some college	conservative	B
RI	female	white	30-44	some college	conservative	B
UT	female	white	30-44	college graduate	conservative	B
CA	female	hispanic	18-29	college graduate	conservative	A
CA	female	white	65+	high school graduate	conservative	B
WA	female	black	65+	high school graduate	liberal	A
NC	male	black	45-64	some college	moderate	A
MI	female	white	65+	didn't graduate from HS	moderate	A
IL	female	white	45-64	college graduate	liberal	A
MD	male	white	18-29	some college	moderate	B
GA	male	hispanic	45-64	some college	moderate	A
MI	female	white	65+	high school graduate	conservative	B
IL	male	white	45-64	some college	conservative	B
IA	female	white	65+	high school graduate	moderate	A
ID	male	other	30-44	some college	conservative	B
PA	female	white	65+	high school graduate	conservative	B
CA	female	white	45-64	college graduate	conservative	B
NY	male	white	45-64	some college	conservative	B
CA	male	white	30-44	high school graduate	moderate	B
WA	male	black	18-29	didn't graduate from HS	conservative	A
UT	male	white	45-64	some college	moderate	B
RI	female	white	65+	college graduate	liberal	A
VA	male	white	45-64	some college	moderate	B
OH	female	white	65+	high school graduate	conservative	B
MA	female	black	45-64	college graduate	liberal	A
AL	female	white	30-44	some college	conservative	B
MI	male	white	18-29	didn't graduate from HS	moderate	A
NE	female	white	65+	high school graduate	moderate	B
OH	male	white	45-64	some college	moderate	A
AZ	female	white	45-64	college graduate	conservative	B
LA	female	white	45-64	high school graduate	moderate	B
KS	male	white	45-64	some college	conservative	B
NC	female	white	65+	high school graduate	conservative	A
VA	male	other	45-64	college graduate	conservative	B
MS	female	white	45-64	college graduate	conservative	B
TX	female	white	45-64	some college	liberal	A
FL	female	other	45-64	high school graduate	conservative	B
TX	male	hispanic	18-29	high school graduate	conservative	B
IN	female	white	45-64	college graduate	conservative	B
CO	female	white	45-64	some college	conservative	A
NY	male	white	18-29	high school graduate	conservative	B
CT	male	hispanic	30-44	college graduate	moderate	A
NE	female	white	45-64	college graduate	moderate	B
SC	male	white	45-64	high school graduate	conservative	B
WV	male	white	30-44	didn't graduate from HS	conservative	A
WY	male	white	45-64	some college	moderate	B
IL	male	white	65+	didn't graduate from HS	conservative	B
IL	female	white	45-64	some college	conservative	B
TN	female	white	45-64	college graduate	moderate	A
NY	male	black	30-44	some college	liberal	A
KS	female	white	65+	college graduate	moderate	B
WI	female	white	45-64	college graduate	conservative	B
CA	male	black	30-44	some college	moderate	A
PA	male	white	45-64	high school graduate	conservative	B
MD	male	white	65+	college graduate	moderate	A
AR	female	white	45-64	high school graduate	moderate	A
CA	female	white	65+	college graduate	moderate	A
CA	female	white	18-29	some college	moderate	A
CA	female	hispanic	45-64	college graduate	conservative	A
OH	female	white	45-64	some college	moderate	B
AR	female	white	45-64	college graduate	moderate	A
LA	female	black	18-29	didn't graduate from HS	liberal	A
TX	female	white	45-64	some college	moderate	B
VA	female	hispanic	45-64	college graduate	moderate	B
NM	male	hispanic	18-29	didn't graduate from HS	moderate	A
WV	male	white	18-29	college graduate	conservative	B
VA	female	white	65+	high school graduate	conservative	B
CA	male	other	45-64	college graduate	liberal	A
AR	male	white	45-64	high school graduate	moderate	A
CT	female	hispanic	45-64	college graduate	moderate	A
TX	female	white	65+	college graduate	conservative	B
FL	male	hispanic	45-64	didn't graduate from HS	moderate	B
CA	female	white	18-29	college graduate	moderate	A
OR	male	white	45-64	high school graduate	moderate	A
NJ	female	white	65+	some college	conservative	B
MA	male	black	45-64	high school graduate	liberal	A
CA	male	white	45-64	college graduate	conservative	B
NC	female	white	30-44	college graduate	moderate	B
NC	male	white	45-64	college graduate	conservative	B
FL	female	white	30-44	some college	conservative	B
CA	female	white	65+	some college	moderate	B
SC	female	black	30-44	college graduate	moderate	A
WI	male	white	45-64	high school graduate	moderate	A
VA	female	white	45-64	college graduate	liberal	A
VA	female	white	30-44	college graduate	moderate	A
OH	female	white	18-29	some college	moderate	A
CA	female	hispanic	30-44	some college	conservative	B
CA	female	hispanic	18-29	some college	moderate	A
NJ	female	white	65+	college graduate	moderate	A
IL	male	black	30-44	college graduate	conservative	A
WA	female	white	30-44	college graduate	moderate	A
CA	female	white	45-64	college graduate	liberal	A
CA	female	white	18-29	college graduate	liberal	A
NC	female	black	30-44	some college	moderate	A
PA	female	white	30-44	high school graduate	conservative	B
WI	male	white	18-29	high school graduate	moderate	A
AL	female	white	45-64	college graduate	conservative	B
MT	female	white	18-29	some college	moderate	B
IN	female	white	65+	didn't graduate from HS	moderate	A
NY	female	white	45-64	college graduate	liberal	other
LA	male	black	30-44	college graduate	conservative	A
NJ	female	white	45-64	some college	liberal	A
CA	male	white	30-44	college graduate	moderate	A
PA	male	white	18-29	high school graduate	conservative	B
FL	female	white	45-64	college graduate	moderate	A
AL	female	white	65+	high school graduate	moderate	A
TX	female	white	45-64	some college	moderate	B
PA	female	white	45-64	college graduate	conservative	B
LA	male	white	30-44	college graduate	moderate	B
PA	male	white	45-64	college graduate	conservative	B
MA	male	white	45-64	college graduate	moderate	A
AZ	male	white	45-64	college graduate	moderate	B
MO	female	white	30-44	college graduate	liberal	A
SC	female	white	45-64	some college	conservative	B
NY	male	white	65+	high school graduate	conservative	B
CA	male	white	30-44	some college	moderate	B
IL	male	white	45-64	college graduate	conservative	B
NV	male	black	45-64	some college	moderate	A
LA	female	white	30-44	some college	moderate	B
AK	male	white	18-29	some college	moderate	B
FL	female	white	45-64	college graduate	liberal	B
LA	male	white	30-44	some college	conservative	B
TX	female	hispanic	18-29	high school graduate	moderate	A
PA	female	white	45-64	college graduate	conservative	B
NC	male	white	65+	college graduate	conservative	B
MD	female	white	30-44	college graduate	moderate	A
LA	female	hispanic	45-64	high school graduate	conservative	A
MA	male	white	45-64	college graduate	moderate	A
VA	female	black	30-44	college graduate	liberal	A
NM	female	other	30-44	some college	moderate	A
CA	female	black	30-44	some college	conservative	A
PA	male	white	30-44	college graduate	conservative	B
MI	female	white	45-64	some college	conservative	B
MN	female	white	30-44	didn't graduate from HS	conservative	A
NC	female	black	30-44	some college	moderate	A
CA	female	black	30-44	college graduate	moderate	A
IN	male	white	45-64	high school graduate	conservative	A
MO	male	white	18-29	didn't graduate from HS	moderate	A
ME	female	white	18-29	some college	moderate	B
PA	female	white	45-64	some college	moderate	B
OH	female	white	45-64	college graduate	moderate	B
WI	female	white	65+	some college	conservative	A
CA	female	white	65+	college graduate	conservative	B
MA	male	white	45-64	some college	conservative	B
PA	male	white	45-64	college graduate	conservative	B
CA	male	hispanic	18-29	high school graduate	moderate	A
IL	female	white	45-64	college graduate	moderate	A
NY	female	hispanic	30-44	some college	conservative	A
MN	male	white	18-29	college graduate	conservative	B
NY	female	white	30-44	college graduate	moderate	A
NH	female	white	45-64	some college	conservative	B
CA	male	white	65+	college graduate	liberal	A
MD	male	black	18-29	college graduate	conservative	A
PA	female	white	45-64	college graduate	moderate	B
NM	female	other	18-29	some college	moderate	A
OK	male	white	30-44	some college	moderate	B
WI	male	white	30-44	college graduate	liberal	A
