state	sex	race	age	education	party	ideology	vote_2008	state_contestedness
CO	male	white	30-44	college graduate	republican	conservative	john mcCain	battleground
AR	female	white	65+	high school graduate	democrat	moderate	barack obama	solid romney
IN	female	white	30-44	high school graduate	republican	moderate	john mcCain	solid romney
IL	male	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
NY	male	white	45-64	college graduate	other	moderate	barack obama	solid obama
AL	female	white	30-44	high school graduate	republican	conservative	john mcCain	solid romney
MI	female	other	45-64	some college	democrat	liberal	barack obama	quasi-battleground
MS	female	black	18-29	some college	other	moderate	barack obama	solid romney
MO	female	white	45-64	college graduate	republican	conservative	barack obama	solid romney
UT	female	white	65+	college graduate	republican	conservative	john mcCain	solid romney
CA	male	hispanic	45-64	college graduate	democrat	moderate	barack obama	solid obama
CA	male	white	65+	college graduate	republican	conservative	john mcCain	solid obama
CA	male	white	45-64	college graduate	other	liberal	john mcCain	solid obama
VA	male	black	45-64	some college	democrat	moderate	barack obama	battleground
CA	male	other	18-29	college graduate	democrat	liberal	john mcCain	solid obama
NY	female	other	18-29	some college	democrat	liberal	barack obama	solid obama
NJ	female	white	45-64	some college	other	moderate	john mcCain	solid obama
NH	female	white	30-44	college graduate	democrat	liberal	barack obama	battleground
LA	female	black	18-29	high school graduate	democrat	liberal	barack obama	solid romney
ME	male	white	45-64	high school graduate	other	conservative	john mcCain	solid obama
PA	male	white	45-64	high school graduate	democrat	moderate	barack obama	quasi-battleground
TX	female	black	30-44	high school graduate	democrat	liberal	barack obama	solid romney
MI	male	white	30-44	college graduate	republican	conservative	john mcCain	quasi-battleground
NY	male	white	45-64	college graduate	republican	liberal	barack obama	solid obama
TN	female	white	45-64	some college	other	moderate	barack obama	solid romney
PA	female	white	18-29	high school graduate	other	moderate	barack obama	quasi-battleground
KS	female	white	45-64	college graduate	other	moderate	barack obama	solid romney
CA	male	white	65+	high school graduate	other	conservative	john mcCain	solid obama
OH	female	white	45-64	some college	democrat	liberal	barack obama	battleground
CA	female	other	45-64	some college	democrat	liberal	barack obama	solid obama
TX	female	black	18-29	some college	democrat	conservative	barack obama	solid romney
ME	male	white	45-64	high school graduate	democrat	liberal	barack obama	solid obama
MI	female	white	18-29	some college	democrat	liberal	barack obama	quasi-battleground
TX	female	white	45-64	college graduate	other	moderate	john mcCain	solid romney
MI	male	black	30-44	high school graduate	other	moderate	barack obama	quasi-battleground
MI	female	white	30-44	college graduate	republican	conservative	john mcCain	quasi-battleground
FL	male	white	65+	college graduate	republican	conservative	john mcCain	battleground
MA	female	other	45-64	some college	other	liberal	barack obama	solid obama
WA	female	white	45-64	college graduate	other	liberal	john mcCain	solid obama
NM	female	white	30-44	college graduate	other	moderate	barack obama	quasi-battleground
LA	male	white	30-44	high school graduate	republican	moderate	barack obama	solid romney
GA	male	white	30-44	high school graduate	other	conservative	john mcCain	solid romney
GA	female	black	30-44	some college	democrat	moderate	barack obama	solid romney
PA	female	white	45-64	college graduate	republican	conservative	john mcCain	quasi-battleground
CA	female	other	18-29	high school graduate	democrat	conservative	barack obama	solid obama
IA	female	white	45-64	college graduate	other	moderate	barack obama	battleground
MI	female	white	30-44	some college	republican	conservative	john mcCain	quasi-battleground
OK	female	black	18-29	some college	democrat	moderate	barack obama	solid romney
NC	female	white	30-44	college graduate	democrat	liberal	john mcCain	quasi-battleground
ID	male	white	45-64	college graduate	other	liberal	barack obama	solid romney
UT	female	white	45-64	high school graduate	democrat	moderate	barack obama	solid romney
VA	female	white	45-64	college graduate	republican	moderate	john mcCain	battleground
NY	male	white	45-64	college graduate	other	moderate	barack obama	solid obama
GA	male	black	30-44	college graduate	democrat	moderate	barack obama	solid romney
NY	male	white	45-64	college graduate	republican	conservative	john mcCain	solid obama
CT	male	white	45-64	high school graduate	other	moderate	john mcCain	solid obama
FL	female	white	18-29	college graduate	democrat	conservative	barack obama	battleground
PA	female	white	30-44	some college	republican	moderate	john mcCain	quasi-battleground
NC	female	white	18-29	some college	democrat	liberal	barack obama	quasi-battleground
WI	female	white	45-64	some college	other	liberal	barack obama	quasi-battleground
OH	female	white	45-64	some college	other	conservative	john mcCain	battleground
GA	male	white	65+	high school graduate	democrat	conservative	john mcCain	solid romney
CO	female	white	30-44	some college	republican	conservative	john mcCain	battleground
NJ	male	white	30-44	high school graduate	republican	conservative	john mcCain	solid obama
CA	female	hispanic	30-44	some college	democrat	liberal	barack obama	solid obama
NJ	female	white	30-44	college graduate	republican	conservative	john mcCain	solid obama
TX	male	white	18-29	some college	other	conservative	john mcCain	solid romney
NC	female	other	30-44	college graduate	other	moderate	barack obama	quasi-battleground
NY	female	black	45-64	didn't graduate from HS	democrat	moderate	barack obama	solid obama
MO	female	white	45-64	college graduate	other	conservative	john mcCain	solid romney
MO	male	white	18-29	didn't graduate from HS	republican	conservative	john mcCain	solid romney
MO	female	white	30-44	college graduate	other	conservative	john mcCain	solid romney
CA	male	white	45-64	some college	republican	moderate	john mcCain	solid obama
NY	female	black	18-29	college graduate	democrat	moderate	barack obama	solid obama
KS	male	white	45-64	some college	other	conservative	john mcCain	solid romney
NY	female	black	65+	high school graduate	democrat	liberal	barack obama	solid obama
CA	male	white	65+	some college	republican	moderate	barack obama	solid obama
MN	male	white	30-44	college graduate	other	moderate	barack obama	quasi-battleground
AR	female	white	45-64	some college	republican	conservative	john mcCain	solid romney
MO	male	white	30-44	high school graduate	republican	conservative	john mcCain	solid romney
CA	female	white	30-44	some college	republican	conservative	john mcCain	solid obama
PA	female	other	45-64	college graduate	democrat	moderate	barack obama	quasi-battleground
IN	male	white	45-64	some college	other	moderate	john mcCain	solid romney
CA	male	white	18-29	didn't graduate from HS	other	moderate	barack obama	solid obama
MO	male	white	30-44	some college	republican	conservative	john mcCain	solid romney
