state	sex	race	age	education	ideology	vote
CO	male	white	30-44	college graduate	conservative	B
AR	female	white	65+	high school graduate	moderate	A
IN	female	white	30-44	high school graduate	moderate	B
IL	male	white	45-64	college graduate	conservative	B
MI	female	other	45-64	some college	liberal	A
MS	female	black	18-29	some college	moderate	A
MO	female	white	45-64	college graduate	conservative	A
UT	female	white	65+	college graduate	conservative	B
CA	male	hispanic	45-64	college graduate	moderate	A
CA	male	white	65+	college graduate	conservative	B
CA	male	white	45-64	college graduate	liberal	B
VA	male	black	45-64	some college	moderate	A
CA	male	other	18-29	college graduate	liberal	B
NY	female	other	18-29	some college	liberal	A
NJ	female	white	45-64	some college	moderate	B
LA	female	black	18-29	high school graduate	liberal	A
ME	male	white	45-64	high school graduate	conservative	B
PA	male	white	45-64	high school graduate	moderate	A
TX	female	black	30-44	high school graduate	liberal	A
MI	male	white	30-44	college graduate	conservative	B
NY	male	white	45-64	college graduate	liberal	A
TN	female	white	45-64	some college	moderate	A
PA	female	white	18-29	high school graduate	moderate	A
KS	female	white	45-64	college graduate	moderate	A
CA	male	white	65+	high school graduate	conservative	B
OH	female	white	45-64	some college	liberal	A
CA	female	other	45-64	some college	liberal	A
TX	female	black	18-29	some college	conservative	A
ME	male	white	45-64	high school graduate	liberal	A
TX	female	white	45-64	college graduate	moderate	B
MI	male	black	30-44	high school graduate	moderate	A
MI	female	white	30-44	college graduate	conservative	B
FL	male	white	65+	college graduate	conservative	B
MA	female	other	45-64	some college	liberal	A
WA	female	white	45-64	college graduate	liberal	B
NM	female	white	30-44	college graduate	moderate	A
LA	male	white	30-44	high school graduate	moderate	A
GA	male	white	30-44	high school graduate	conservative	B
GA	female	black	30-44	some college	moderate	A
PA	female	white	45-64	college graduate	conservative	B
CA	female	other	18-29	high school graduate	conservative	A
IA	female	white	45-64	college graduate	moderate	A
MI	female	white	30-44	some college	conservative	B
OK	female	black	18-29	some college	moderate	A
NC	female	white	30-44	college graduate	liberal	B
ID	male	white	45-64	college graduate	liberal	A
UT	female	white	45-64	high school graduate	moderate	A
VA	female	white	45-64	college graduate	moderate	B
NY	male	white	45-64	college graduate	moderate	A
GA	male	black	30-44	college graduate	moderate	A
NY	male	white	45-64	college graduate	conservative	B
CT	male	white	45-64	high school graduate	moderate	B
FL	female	white	18-29	college graduate	conservative	A
PA	female	white	30-44	some college	moderate	B
NC	female	white	18-29	some college	liberal	A
WI	female	white	45-64	some college	liberal	A
