state	sex	race	age	education	party	ideology	vote_2008	state_contestedness
AK	female	white	45-64	college graduate	other	liberal	barack obama	solid romney
AK	male	white	30-44	college graduate	other	moderate	barack obama	solid romney
AK	male	other	18-29	some college	other	moderate	john mcCain	solid romney
AK	male	white	30-44	college graduate	democrat	liberal	barack obama	solid romney
AK	female	white	30-44	college graduate	other	liberal	barack obama	solid romney
AK	male	white	65+	college graduate	other	moderate	barack obama	solid romney
AK	male	other	45-64	some college	other	conservative	john mcCain	solid romney
AK	male	white	30-44	some college	republican	moderate	john mcCain	solid romney
AK	male	white	18-29	some college	other	moderate	john mcCain	solid romney
AK	female	white	45-64	high school graduate	other	moderate	barack obama	solid romney
AK	male	white	30-44	some college	democrat	liberal	barack obama	solid romney
AK	female	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AL	female	white	45-64	high school graduate	democrat	moderate	barack obama	solid romney
AL	male	white	30-44	college graduate	democrat	conservative	john mcCain	solid romney
AL	male	white	45-64	high school graduate	republican	moderate	john mcCain	solid romney
AL	female	white	30-44	some college	republican	conservative	john mcCain	solid romney
AL	male	white	30-44	high school graduate	democrat	conservative	john mcCain	solid romney
AL	male	black	18-29	high school graduate	democrat	moderate	barack obama	solid romney
AL	male	black	45-64	college graduate	democrat	moderate	barack obama	solid romney
AL	male	black	18-29	some college	democrat	liberal	barack obama	solid romney
AL	female	black	18-29	some college	democrat	moderate	barack obama	solid romney
AL	female	white	65+	some college	republican	moderate	john mcCain	solid romney
AL	male	black	30-44	high school graduate	democrat	conservative	barack obama	solid romney
AL	female	other	18-29	high school graduate	democrat	moderate	john mcCain	solid romney
AL	male	white	18-29	some college	republican	conservative	john mcCain	solid romney
AL	female	white	30-44	college graduate	democrat	conservative	john mcCain	solid romney
AL	female	white	45-64	some college	other	moderate	john mcCain	solid romney
AL	male	white	18-29	some college	republican	conservative	john mcCain	solid romney
AL	male	white	18-29	some college	democrat	liberal	barack obama	solid romney
AL	female	black	18-29	college graduate	democrat	liberal	barack obama	solid romney
AL	male	white	30-44	some college	democrat	liberal	barack obama	solid romney
AL	male	white	45-64	some college	republican	moderate	john mcCain	solid romney
AL	female	white	45-64	some college	democrat	conservative	john mcCain	solid romney
AL	female	black	30-44	college graduate	democrat	moderate	barack obama	solid romney
AL	male	black	45-64	some college	democrat	conservative	barack obama	solid romney
AL	female	black	30-44	college graduate	democrat	conservative	barack obama	solid romney
AL	male	white	30-44	high school graduate	republican	conservative	john mcCain	solid romney
AL	male	black	18-29	high school graduate	democrat	moderate	barack obama	solid romney
AL	male	white	30-44	high school graduate	republican	conservative	john mcCain	solid romney
AL	male	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AL	female	white	45-64	some college	republican	moderate	john mcCain	solid romney
AL	male	white	45-64	college graduate	republican	conservative	john mcCain	solid romney
AL	male	white	45-64	college graduate	democrat	moderate	john mcCain	solid romney
AL	male	white	45-64	high school graduate	republican	conservative	john mcCain	solid romney
