state	sex	race	age	education	party	ideology	state_contestedness	vote
AK	female	white	45-64	college graduate	other	liberal	solid B	A
AK	male	white	30-44	college graduate	other	moderate	solid B	A
AK	male	other	18-29	some college	other	moderate	solid B	B
AK	male	white	30-44	college graduate	A	liberal	solid B	A
AK	female	white	30-44	college graduate	other	liberal	solid B	A
AK	male	white	65+	college graduate	other	moderate	solid B	A
AK	male	other	45-64	some college	other	conservative	solid B	B
AK	male	white	30-44	some college	B	moderate	solid B	B
AK	male	white	18-29	some college	other	moderate	solid B	B
AK	female	white	45-64	high school graduate	other	moderate	solid B	A
AK	male	white	30-44	some college	A	liberal	solid B	A
AK	female	white	45-64	college graduate	B	conservative	solid B	B
AL	female	white	45-64	high school graduate	A	moderate	solid B	A
AL	male	white	30-44	college graduate	A	conservative	solid B	B
AL	male	white	45-64	high school graduate	B	moderate	solid B	B
AL	female	white	30-44	some college	B	conservative	solid B	B
AL	male	white	30-44	high school graduate	A	conservative	solid B	B
AL	male	black	18-29	high school graduate	A	moderate	solid B	A
AL	male	black	45-64	college graduate	A	moderate	solid B	A
AL	male	black	18-29	some college	A	liberal	solid B	A
AL	female	black	18-29	some college	A	moderate	solid B	A
AL	female	white	65+	some college	B	moderate	solid B	B
AL	male	black	30-44	high school graduate	A	conservative	solid B	A
AL	female	other	18-29	high school graduate	A	moderate	solid B	B
AL	male	white	18-29	some college	B	conservative	solid B	B
AL	female	white	30-44	college graduate	A	conservative	solid B	B
AL	female	white	45-64	some college	other	moderate	solid B	B
AL	male	white	18-29	some college	B	conservative	solid B	B
AL	male	white	18-29	some college	A	liberal	solid B	A
AL	female	black	18-29	college graduate	A	liberal	solid B	A
AL	male	white	30-44	some college	A	liberal	solid B	A
AL	male	white	45-64	some college	B	moderate	solid B	B
AL	female	white	45-64	some college	A	conservative	solid B	B
AL	female	black	30-44	college graduate	A	moderate	solid B	A
AL	male	black	45-64	some college	A	conservative	solid B	A
AL	female	black	30-44	college graduate	A	conservative	solid B	A
AL	male	white	30-44	high school graduate	B	conservative	solid B	B
AL	male	black	18-29	high school graduate	A	moderate	solid B	A
AL	male	white	30-44	high school graduate	B	conservative	solid B	B
AL	male	white	45-64	college graduate	B	conservative	solid B	B
AL	female	white	45-64	some college	B	moderate	solid B	B
AL	male	white	45-64	college graduate	B	conservative	solid B	B
AL	male	white	45-64	college graduate	A	moderate	solid B	B
AL	male	white	45-64	high school graduate	B	conservative	solid B	B
AL	female	white	65+	high school graduate	other	conservative	solid B	B
AL	male	white	45-64	didn't graduate from HS	B	conservative	solid B	B
AL	female	white	30-44	college graduate	B	conservative	solid B	B
AL	female	white	30-44	college graduate	B	conservative	solid B	B
AL	male	white	30-44	some college	B	conservative	solid B	B
AL	male	white	45-64	college graduate	B	conservative	solid B	B
AL	male	white	45-64	college graduate	B	conservative	solid B	B
AL	female	other	45-64	some college	other	moderate	solid B	B
AL	female	black	45-64	didn't graduate from HS	other	moderate	solid B	A
