state	sex	race	age	education	party	ideology	state_contestedness	vote
AK	female	white	45-64	college graduate	A	moderate	solid B	A
AK	female	white	18-29	some college	B	conservative	solid B	B
AL	female	white	30-44	high school graduate	B	conservative	solid B	B
AL	female	white	45-64	high school graduate	B	conservative	solid B	B
AR	female	white	65+	high school graduate	A	moderate	solid B	A
AR	female	white	45-64	some college	B	conservative	solid B	B
AZ	female	hispanic	18-29	some college	B	moderate	solid B	B
AZ	female	white	30-44	college graduate	B	moderate	solid B	B
CA	male	hispanic	45-64	college graduate	A	moderate	solid A	A
CA	male	white	65+	college graduate	B	conservative	solid A	B
CO	male	white	30-44	college graduate	B	conservative	battleground	B
CO	female	white	30-44	some college	B	conservative	battleground	B
CT	male	white	45-64	high school graduate	other	moderate	solid A	B
CT	female	white	45-64	some college	other	conservative	solid A	B
DE	female	white	45-64	some college	other	moderate	solid A	A
DE	male	black	30-44	college graduate	A	moderate	solid A	A
FL	male	white	65+	college graduate	B	conservative	battleground	B
FL	female	white	18-29	college graduate	A	conservative	battleground	A
GA	male	white	30-44	high school graduate	other	conservative	solid B	B
GA	female	black	30-44	some college	A	moderate	solid B	A
IA	female	white	45-64	college graduate	other	moderate	battleground	A
IA	female	white	30-44	college graduate	other	moderate	battleground	A
ID	male	white	45-64	college graduate	other	liberal	solid B	A
ID	male	white	45-64	college graduate	other	conservative	solid B	B
IL	male	white	45-64	college graduate	B	conservative	solid A	B
IL	female	white	45-64	some college	A	moderate	solid A	A
IN	female	white	30-44	high school graduate	B	moderate	solid B	B
IN	male	white	45-64	some college	other	moderate	solid B	B
KS	female	white	45-64	college graduate	other	moderate	solid B	A
KS	male	white	45-64	some college	other	conservative	solid B	B
KY	female	white	30-44	college graduate	B	conservative	solid B	B
KY	female	white	30-44	college graduate	other	moderate	solid B	B
LA	female	black	18-29	high school graduate	A	liberal	solid B	A
LA	male	white	30-44	high school graduate	B	moderate	solid B	A
MA	female	other	45-64	some college	other	liberal	solid A	A
MA	male	white	45-64	some college	other	moderate	solid A	B
MD	male	white	30-44	some college	A	moderate	solid A	A
MD	female	white	30-44	some college	A	liberal	solid A	A
ME	male	white	45-64	high school graduate	other	conservative	solid A	B
ME	male	white	45-64	high school graduate	A	liberal	solid A	A
MI	female	other	45-64	some college	A	liberal	quasi-battleground	A
MI	male	white	30-44	college graduate	B	conservative	quasi-battleground	B
MN	male	white	30-44	college graduate	other	moderate	quasi-battleground	A
MN	female	white	45-64	high school graduate	other	moderate	quasi-battleground	B
MO	female	white	45-64	college graduate	B	conservative	solid B	A
MO	female	white	45-64	college graduate	other	conservative	solid B	B
MS	female	black	18-29	some college	other	moderate	solid B	A
